City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Puksoozero,RU,62.5903,40.6066,64.33,63,55,4.63,broken clouds
294,Sunndalsora,NO,62.6754,8.5515,55.67,97,100,5.73,overcast clouds
295,Severo-Kurilsk,RU,50.6789,156.125,51.85,91,63,10.92,broken clouds
296,Great Falls,US,47.5002,-111.3008,78.42,39,0,10.36,clear sky
297,Champerico,GT,14.3,-91.9167,82.18,78,92,2.98,overcast clouds
298,Alice Springs,AU,-23.7,133.8833,53.15,43,100,1.14,overcast clouds
299,Jiuquan,CN,39.7432,98.5174,73.89,60,99,5.79,overcast clouds
300,Caravelas,BR,-17.7125,-39.2481,73.54,88,64,10.31,broken clouds
301,Fonte Boa,BR,-2.4959,-66.2662,88.81,53,16,3.65,few clouds
302,Qasigiannguit,GL,68.8193,-51.1922,45.99,69,46,4.76,scattered clouds
303,Nome,US,64.5011,-165.4064,48.27,81,0,3.44,clear sky
304,Mareeba,AU,-17.0,145.4333,64.49,98,21,2.35,few clouds
305,Bambanglipuro,ID,-7.95,110.2833,72.72,88,75,4.32,broken clouds
306,Tuktoyaktuk,CA,69.4541,-133.0374,47.84,70,34,5.53,scattered clouds
307,Lorengau,PG,-2.0226,147.2712,81.37,78,44,7.14,scattered clouds
308,Camabatela,AO,-8.1881,15.375,78.94,26,0,6.96,clear sky
309,Tutoia,BR,-2.7619,-42.2744,82.58,73,49,13.27,scattered clouds
310,Northam,GB,51.0333,-4.2167,68.4,87,96,11.23,overcast clouds
311,Maceio,BR,-9.6658,-35.7353,85.44,61,40,13.8,scattered clouds
312,Ahuimanu,US,21.4447,-157.8378,78.51,76,75,13.8,broken clouds
313,Saint George,US,37.1041,-113.5841,82.44,61,0,4.0,clear sky
314,Lewistown,US,40.5992,-77.5714,83.61,76,0,4.61,clear sky
315,Tuatapere,NZ,-46.1333,167.6833,36.45,90,23,5.77,few clouds
316,Ati,TD,13.2154,18.3353,88.79,45,94,5.14,light rain
317,Manaus,BR,-3.1019,-60.025,90.1,66,40,8.05,scattered clouds
318,Urucara,BR,-2.5364,-57.76,91.51,47,71,4.68,broken clouds
319,Whyalla,AU,-33.0333,137.5833,48.81,73,0,12.64,clear sky
320,Conakry,GN,9.538,-13.6773,79.45,76,43,12.88,scattered clouds
321,Fuxin,CN,42.0156,121.6589,73.72,85,47,4.54,scattered clouds
322,Port Macquarie,AU,-31.4333,152.9167,54.9,78,100,9.75,overcast clouds
323,Sola,VU,-13.8833,167.55,78.96,80,94,15.17,overcast clouds
324,Gat,IL,31.61,34.7642,84.81,30,19,8.77,few clouds
325,Ulladulla,AU,-35.35,150.4667,54.18,76,100,10.0,overcast clouds
326,Soyo,AO,-6.1349,12.3689,73.8,76,11,11.56,few clouds
327,Bilma,NE,18.6853,12.9164,97.29,28,77,11.63,light rain
328,Bonavista,CA,48.6499,-53.1147,66.96,66,1,5.17,clear sky
329,Benguela,AO,-12.5763,13.4055,70.5,71,1,7.49,clear sky
330,Syamzha,RU,60.0158,41.0614,62.06,80,8,4.9,clear sky
331,Shasta Lake,US,40.6804,-122.3708,82.81,52,86,0.81,overcast clouds
332,Gimli,CA,50.6336,-96.9907,62.4,94,100,15.9,moderate rain
333,Mednogorskiy,RU,43.9178,41.1825,72.61,75,5,1.36,clear sky
334,Martapura,ID,-3.4167,114.85,75.29,100,100,3.44,overcast clouds
335,Shitanjing,CN,39.2342,106.3439,80.37,51,21,17.09,few clouds
336,Walvis Bay,NA,-22.9575,14.5053,56.08,76,0,11.34,clear sky
337,Konevo,RU,62.1215,39.3192,63.28,65,100,3.06,overcast clouds
338,Marquette,US,46.5333,-87.6335,76.44,51,47,7.2,scattered clouds
339,Longyearbyen,SJ,78.2186,15.6401,49.84,76,0,3.44,clear sky
340,Palana,RU,59.1167,159.9667,44.8,82,69,7.14,broken clouds
341,Douglas,US,41.3,-96.167,80.53,71,75,13.8,broken clouds
342,Broken Hill,AU,-31.95,141.4333,45.18,71,2,8.48,clear sky
343,Osa,RU,57.2829,55.4567,68.77,69,91,3.49,overcast clouds
344,Kysyl-Syr,RU,63.8986,122.7617,66.54,78,97,4.18,overcast clouds
345,Waingapu,ID,-9.6567,120.2641,73.72,86,19,6.46,few clouds
